data_type;site;lat_dd;lon_dd;datum;precision;date;day;month;year;period;position;habitat;trans_n;sampleID;depth_max;depth_min;temp_c;visi_vert;visi_hor;taxon;cat_tax;group;kingdom;phylum;class;order;family;AphiaID;abund;sample_config;area_m2
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;2;DE_T2_20200311;12;6;23.5;8;9;Coscinasterias_tenuispina;Species;Estrela;Animalia;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;123795;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;3;DE_T3_20200311;12;6;23.5;8;9;Coscinasterias_tenuispina;Species;Estrela;Animalia;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;123795;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;12;6;23.5;8;9;Narcissia_trigonaria;Species;Estrela;Animalia;Echinodermata;Asteroidea;Valvatida;Ophidiasteridae;124097;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;2;DE_T2_20200311;12;6;23.5;8;9;Narcissia_trigonaria;Species;Estrela;Animalia;Echinodermata;Asteroidea;Valvatida;Ophidiasteridae;124097;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;3;DE_T3_20200311;12;6;23.5;8;9;Narcissia_trigonaria;Species;Estrela;Animalia;Echinodermata;Asteroidea;Valvatida;Ophidiasteridae;124097;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;12;6;23.5;8;9;Clypeaster_subdepressus;Species;Bolacha_do_mar;Animalia;Echinodermata;Echinoidea;Clypeasteroidea;Clypeasteridae;422499;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;2;DE_T2_20200311;12;6;23.5;8;9;Clypeaster_subdepressus;Species;Bolacha_do_mar;Animalia;Echinodermata;Echinoidea;Clypeasteroidea;Clypeasteridae;422499;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;3;DE_T3_20200311;12;6;23.5;8;9;Clypeaster_subdepressus;Species;Bolacha_do_mar;Animalia;Echinodermata;Echinoidea;Clypeasteroidea;Clypeasteridae;422499;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;12;6;23.5;8;9;Isostichopus_badionotus;Species;Pepino_do_mar;Animalia;Echinodermata;Holothuroidea;Synallactida;Stichopodidae;367868;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;2;DE_T2_20200311;12;6;23.5;8;9;Isostichopus_badionotus;Species;Pepino_do_mar;Animalia;Echinodermata;Holothuroidea;Synallactida;Stichopodidae;367868;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;3;DE_T3_20200311;12;6;23.5;8;9;Isostichopus_badionotus;Species;Pepino_do_mar;Animalia;Echinodermata;Holothuroidea;Synallactida;Stichopodidae;367868;1;20m_x_2m;40
