tipo_de_dado;sitio;lat_dd;lon_dd;datum;precisao;Data;Periodo;posicao;amb;trans_n;prof_max;prof_min;temp_c;visi_vert;visi_hor;cat_tax;Grupo;Reino;Táxon;abund;sample_config;area_m2
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;3;12;6;23.5;8;9;Species;Pepino do mar;Animal;Isostichopus badionotus;1;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;1;12;6;23.5;8;9;Species;Pepino do mar;Animal;Holothuria grisea;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;2;12;6;23.5;8;9;Species;Pepino do mar;Animal;Holothuria grisea;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;3;12;6;23.5;8;9;Species;Pepino do mar;Animal;Holothuria grisea;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;1;12;6;23.5;8;9;Species;Lírio do mar;Animal;Tropiometra carinata;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;2;12;6;23.5;8;9;Species;Lírio do mar;Animal;Tropiometra carinata;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;3;12;6;23.5;8;9;Species;Lírio do mar;Animal;Tropiometra carinata;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;1;12;6;23.5;8;9;Species;Anêmona;Animal;Anemonia sargassensis;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;2;12;6;23.5;8;9;Species;Anêmona;Animal;Anemonia sargassensis;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;3;12;6;23.5;8;9;Species;Anêmona;Animal;Anemonia sargassensis;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;1;12;6;23.5;8;9;Species;Anêmona;Animal;Bunodosoma caissarum;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;2;12;6;23.5;8;9;Species;Anêmona;Animal;Bunodosoma caissarum;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;3;12;6;23.5;8;9;Species;Anêmona;Animal;Bunodosoma caissarum;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;1;12;6;23.5;8;9;Species;Anêmona;Animal;Actinostella flosculifera;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;2;12;6;23.5;8;9;Species;Anêmona;Animal;Actinostella flosculifera;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;3;12;6;23.5;8;9;Species;Anêmona;Animal;Actinostella flosculifera;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;1;12;6;23.5;8;9;Species;Species exótica;Animal;Schizoporella errata;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;2;12;6;23.5;8;9;Species;Species exótica;Animal;Schizoporella errata;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;3;12;6;23.5;8;9;Species;Species exótica;Animal;Schizoporella errata;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;1;12;6;23.5;8;9;Species;Gorgônia;Animal;Leptogorgia punicea;6;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;2;12;6;23.5;8;9;Species;Gorgônia;Animal;Leptogorgia punicea;4;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;3;12;6;23.5;8;9;Species;Gorgônia;Animal;Leptogorgia punicea;9;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;1;12;6;23.5;8;9;Family;Poliqueta;Animal;Serpulidae;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;2;12;6;23.5;8;9;Family;Poliqueta;Animal;Serpulidae;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;3;12;6;23.5;8;9;Family;Poliqueta;Animal;Serpulidae;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;1;12;6;23.5;8;9;Family;Poliqueta;Animal;Sabellidae;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;2;12;6;23.5;8;9;Family;Poliqueta;Animal;Sabellidae;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;3;12;6;23.5;8;9;Family;Poliqueta;Animal;Sabellidae;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;1;12;6;23.5;8;9;Species;Gastrópoda;Animal;Aplysia brasiliana;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;2;12;6;23.5;8;9;Species;Gastrópoda;Animal;Aplysia brasiliana;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;3;12;6;23.5;8;9;Species;Gastrópoda;Animal;Aplysia brasiliana;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;1;12;6;23.5;8;9;Genus;Gastrópoda;Animal;Cypraea;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;2;12;6;23.5;8;9;Genus;Gastrópoda;Animal;Cypraea;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;3;12;6;23.5;8;9;Genus;Gastrópoda;Animal;Cypraea;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;1;12;6;23.5;8;9;Species;Vieira;Animal;Nodipecten nodosus;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;2;12;6;23.5;8;9;Species;Vieira;Animal;Nodipecten nodosus;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;3;12;6;23.5;8;9;Species;Vieira;Animal;Nodipecten nodosus;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;1;12;6;23.5;8;9;Species;Species exótica;Animal;Ophiothela mirabilis;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;2;12;6;23.5;8;9;Species;Species exótica;Animal;Ophiothela mirabilis;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;3;12;6;23.5;8;9;Species;Species exótica;Animal;Ophiothela mirabilis;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;1;12;6;23.5;8;9;Species;Species exótica;Animal;Tubastraea coccinea;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;2;12;6;23.5;8;9;Species;Species exótica;Animal;Tubastraea coccinea;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;3;12;6;23.5;8;9;Species;Species exótica;Animal;Tubastraea coccinea;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;1;12;6;23.5;8;9;Species;Species exótica;Animal;Styela plicata;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;2;12;6;23.5;8;9;Species;Species exótica;Animal;Styela plicata;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;3;12;6;23.5;8;9;Species;Species exótica;Animal;Styela plicata;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;1;12;6;23.5;8;9;Species;Lixo de pesca;NA;NA;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;2;12;6;23.5;8;9;Species;Lixo de pesca;NA;NA;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;3;12;6;23.5;8;9;Species;Lixo de pesca;NA;NA;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;1;12;6;23.5;8;9;Species;Lixo comum;NA;NA;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;2;12;6;23.5;8;9;Species;Lixo comum;NA;NA;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;3;12;6;23.5;8;9;Species;Lixo comum;NA;NA;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;1;16;12;23.5;8;9;Species;Ouriço;Animal;Eucidaris tribuloides;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;2;16;12;23.5;8;9;Species;Ouriço;Animal;Eucidaris tribuloides;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;3;16;12;23.5;8;9;Species;Ouriço;Animal;Eucidaris tribuloides;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;1;16;12;23.5;8;9;Species;Ouriço;Animal;Lytechinus variegatus;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;2;16;12;23.5;8;9;Species;Ouriço;Animal;Lytechinus variegatus;0;20m x 2m;40
