tipo_de_dado;sitio;lat_dd;lon_dd;datum;precisao;Data;Periodo;posicao;amb;trans_n;prof_max;prof_min;temp_c;visi_vert;visi_hor;cat_tax;Grupo;Reino;Táxon;abund;sample_config;area_m2
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;1;16;12;23.5;8;9;Species;Estrela;Animal;Echinaster brasiliensis;2;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;2;16;12;23.5;8;9;Species;Estrela;Animal;Echinaster brasiliensis;1;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;3;16;12;23.5;8;9;Species;Estrela;Animal;Echinaster brasiliensis;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;1;16;12;23.5;8;9;Species;Estrela;Animal;Coscinasterias tenuispina;2;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;2;16;12;23.5;8;9;Species;Estrela;Animal;Coscinasterias tenuispina;1;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;3;16;12;23.5;8;9;Species;Estrela;Animal;Coscinasterias tenuispina;1;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;1;16;12;23.5;8;9;Species;Estrela;Animal;Narcissia trigonaria;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;2;16;12;23.5;8;9;Species;Estrela;Animal;Narcissia trigonaria;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;3;16;12;23.5;8;9;Species;Estrela;Animal;Narcissia trigonaria;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;1;16;12;23.5;8;9;Species;Bolacha do mar;Animal;Clypeaster subdepressus;1;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;2;16;12;23.5;8;9;Species;Bolacha do mar;Animal;Clypeaster subdepressus;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;3;16;12;23.5;8;9;Species;Bolacha do mar;Animal;Clypeaster subdepressus;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;1;16;12;23.5;8;9;Species;Pepino do mar;Animal;Isostichopus badionotus;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;2;16;12;23.5;8;9;Species;Pepino do mar;Animal;Isostichopus badionotus;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;3;16;12;23.5;8;9;Species;Pepino do mar;Animal;Isostichopus badionotus;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;1;16;12;23.5;8;9;Species;Pepino do mar;Animal;Holothuria grisea;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;2;16;12;23.5;8;9;Species;Pepino do mar;Animal;Holothuria grisea;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;3;16;12;23.5;8;9;Species;Pepino do mar;Animal;Holothuria grisea;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;1;16;12;23.5;8;9;Species;Lírio do mar;Animal;Tropiometra carinata;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;2;16;12;23.5;8;9;Species;Lírio do mar;Animal;Tropiometra carinata;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;3;16;12;23.5;8;9;Species;Lírio do mar;Animal;Tropiometra carinata;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;1;16;12;23.5;8;9;Species;Anêmona;Animal;Anemonia sargassensis;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;2;16;12;23.5;8;9;Species;Anêmona;Animal;Anemonia sargassensis;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;3;16;12;23.5;8;9;Species;Anêmona;Animal;Anemonia sargassensis;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;1;16;12;23.5;8;9;Species;Anêmona;Animal;Bunodosoma caissarum;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;2;16;12;23.5;8;9;Species;Anêmona;Animal;Bunodosoma caissarum;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;3;16;12;23.5;8;9;Species;Anêmona;Animal;Bunodosoma caissarum;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;1;16;12;23.5;8;9;Species;Anêmona;Animal;Actinostella flosculifera;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;2;16;12;23.5;8;9;Species;Anêmona;Animal;Actinostella flosculifera;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;3;16;12;23.5;8;9;Species;Anêmona;Animal;Actinostella flosculifera;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;1;16;12;23.5;8;9;Species;Species exótica;Animal;Schizoporella errata;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;2;16;12;23.5;8;9;Species;Species exótica;Animal;Schizoporella errata;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;3;16;12;23.5;8;9;Species;Species exótica;Animal;Schizoporella errata;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;1;16;12;23.5;8;9;Species;Gorgônia;Animal;Leptogorgia punicea;1;20m x 2m;40
