data_type;site;lat_dd;lon_dd;datum;precision;date;day;month;year;position;habitat;trans_n;temp_c;depth_min;depth_max;visi_vert;visi_hor;point;subs_cover;roughness;obs
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;1;23.5;6;12;8;9;p15;briozoario incrustante;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;1;23.5;6;12;8;9;p15.5;alga calcaria crostosa;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;1;23.5;6;12;8;9;p16;turf;1;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;1;23.5;6;12;8;9;p16.5;alga calcaria crostosa;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;1;23.5;6;12;8;9;p17;alga calcaria crostosa;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;1;23.5;6;12;8;9;p17.5;alga calcaria crostosa;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;1;23.5;6;12;8;9;p18;turf;1;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;1;23.5;6;12;8;9;p18.5;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;1;23.5;6;12;8;9;p19;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;1;23.5;6;12;8;9;p19.5;gorgonia;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p0;alga calcaria crostosa;1;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p0.5;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p1;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p1.5;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p2;zoantideo;1;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p2.5;zoantideo;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p3;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p3.5;alga calcaria crostosa;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p4;alga calcaria crostosa;2;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p4.5;alga calcaria crostosa;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p5;alga calcaria crostosa;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p5.5;zoantideo;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p6;zoantideo;1;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p6.5;macroalga;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p7;macroalga;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p7.5;macroalga;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p8;turf;1;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p8.5;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p9;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p9.5;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p10;turf;2;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p10.5;zoantideo;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p11;zoantideo;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p11.5;alga calcaria crostosa;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p12;alga calcaria crostosa;2;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p12.5;alga calcaria crostosa;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p13;zoantideo;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p13.5;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p14;macroalga;1;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p14.5;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p15;zoantideo;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p15.5;zoantideo;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p16;zoantideo;1;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p16.5;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p17;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p17.5;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p18;turf;2;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p18.5;zoantideo;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p19;macroalga;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;2;23.5;6;12;8;9;p19.5;macroalga;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;3;23.5;6;12;8;9;p0;turf;2;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;3;23.5;6;12;8;9;p0.5;ascidia;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;3;23.5;6;12;8;9;p1;ascidia;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;3;23.5;6;12;8;9;p1.5;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;3;23.5;6;12;8;9;p2;turf;2;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;3;23.5;6;12;8;9;p2.5;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;3;23.5;6;12;8;9;p3;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;3;23.5;6;12;8;9;p3.5;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;3;23.5;6;12;8;9;p4;alga calcaria crostosa;2;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;3;23.5;6;12;8;9;p4.5;alga calcaria crostosa;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;3;23.5;6;12;8;9;p5;alga calcaria crostosa;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;3;23.5;6;12;8;9;p5.5;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;3;23.5;6;12;8;9;p6;turf;1;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;3;23.5;6;12;8;9;p6.5;hidrozoa;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;3;23.5;6;12;8;9;p7;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;3;23.5;6;12;8;9;p7.5;alga calcaria crostosa;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;3;23.5;6;12;8;9;p8;turf;0;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;3;23.5;6;12;8;9;p8.5;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;3;23.5;6;12;8;9;p9;hidrozoa;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;3;23.5;6;12;8;9;p9.5;gorgonia;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;11/03/2020;11;03;2020;Rebio Arvoredo;rocky_shore;3;23.5;6;12;8;9;p10;turf;0;NA
